bus_id,vector
-1TUzO4XCmOeqi9eAGeDWA,"[0.44174572825431824, 0.6760820150375366, -0.6604259610176086, 1.1998311281204224, 1.302711844444275, -0.2960268557071686, 1.6189219951629639, 1.3092561960220337, -0.5830497145652771, -0.9345082640647888, -0.6619443893432617, 0.2624068558216095, 0.5656844973564148, -0.1236189529299736, -1.4149242639541626, -1.9365776777267456, -0.4220634400844574, -0.5677312612533569, -0.5720959305763245, -1.0283379554748535, -0.9847750663757324, 0.42952466011047363, -0.1499483287334442, -0.42199745774269104, 0.23960037529468536, -0.5154179930686951, 0.2555933892726898, -0.36541327834129333, 0.9171531796455383, 0.2788101136684418]"
-2q4dnUw0gGJniGW2aPamQ,"[-0.07483099400997162, -0.2951430678367615, 0.07314769178628922, 0.3353096842765808, -0.06311377137899399, 0.10568959265947342, -0.06497272104024887, 0.40188896656036377, -0.053008198738098145, -0.9830330014228821, -1.5746043920516968, 0.28572505712509155, 0.8143182992935181, -0.036924537271261215, 0.15367025136947632, -0.2217988669872284, 0.38610437512397766, 0.4012288749217987, -0.32018136978149414, 0.4180415868759155, 1.08187735080719, -0.059258073568344116, -0.11133429408073425, 0.14800092577934265, 0.13620050251483917, -0.9451491236686707, 0.9075296521186829, -0.6303607225418091, -0.05808226391673088, 0.8459855914115906]"
-5NXoZeGBdx3Bdk70tuyCw,"[-0.017062565311789513, -0.30262041091918945, 0.37041717767715454, 0.4914160370826721, 0.42185550928115845, -0.35972630977630615, -0.26617419719696045, 0.3333222568035126, 0.34126201272010803, 0.12723292410373688, -0.393950879573822, -0.32962316274642944, 0.29615944623947144, 0.42291155457496643, -0.017735283821821213, 0.09050606936216354, 0.42182669043540955, -0.20456047356128693, -0.05953798443078995, -0.2692243158817291, 0.5159265995025635, -0.46677061915397644, -0.17866191267967224, 0.6500833630561829, 0.7228283286094666, -0.15860147774219513, -0.3777957260608673, -0.6014089584350586, -0.6505511999130249, 0.06519730389118195]"
-5dd-RjojGVK9hjAMCXVZw,"[-0.7659492492675781, -0.11754341423511505, -0.1740901917219162, 0.5858656167984009, 0.8545183539390564, 0.1707686483860016, 0.09465213865041733, 0.18749429285526276, 0.00782165676355362, -0.6370262503623962, -1.002819538116455, 0.37273430824279785, 0.9851345419883728, -0.4120187759399414, -0.04055657610297203, -0.48111405968666077, 0.3079639673233032, 0.32009726762771606, -0.31529247760772705, 0.0009738868102431297, 0.2804790437221527, -0.04730042442679405, 0.49051037430763245, 0.07631433755159378, 0.46041080355644226, -0.33720606565475464, 0.7636814117431641, -0.6148114204406738, -0.10385995358228683, 0.1918129324913025]"
-7PuYohz9dR80iGfVR_kLA,"[-0.25754380226135254, -0.09371606260538101, -0.16208091378211975, -0.36709389090538025, 0.07196427136659622, 0.1538720726966858, 1.1018635034561157, -0.37599581480026245, 0.9151136875152588, -0.34412238001823425, 0.10889511555433273, 0.3412812352180481, -0.20223356783390045, -0.05623214691877365, -0.1706777960062027, -0.20804977416992188, 0.2505987882614136, -0.5219257473945618, -0.0022147605195641518, -0.7884188294410706, 0.8406814336776733, -0.32607313990592957, 0.6422077417373657, -0.3939322233200073, 0.5103646516799927, 0.6037212014198303, -0.1814187616109848, -0.06948383897542953, -0.20389172434806824, -0.04185161739587784]"
-865Ps6xb3h1LP67JcQ3mA,"[0.1851324737071991, -0.2963988184928894, -0.1559128314256668, -0.3288446068763733, 0.5328188538551331, 0.26590606570243835, 0.353840708732605, 0.3576163053512573, 0.14022354781627655, 0.4211708605289459, -0.9551064968109131, 0.4302693009376526, 0.8067071437835693, -0.046375636011362076, 0.7437679767608643, 0.2617189586162567, 0.1634054183959961, 0.3157521188259125, 0.34793227910995483, -0.17320138216018677, 0.1204703226685524, -0.4238716661930084, 0.3647899627685547, 0.22413013875484467, 0.12979111075401306, 0.5416322946548462, 0.42477449774742126, -1.3111155033111572, 0.06658622622489929, -0.36120495200157166]"
-8SG5t1yznyU0fy6_CWNDA,"[0.5436810851097107, -0.31591519713401794, -0.7903655171394348, -0.25708577036857605, 0.5382829904556274, 0.966379702091217, 0.7442141771316528, 1.7803453207015991, -0.5428178906440735, -0.476654589176178, -0.1280246376991272, 0.1840253323316574, -0.13167095184326172, 0.9384607672691345, 0.39305898547172546, 0.40288686752319336, -0.9485490322113037, -0.9431965947151184, 0.5808859467506409, -0.48013439774513245, -0.5247926115989685, -0.5050210952758789, -0.5525779128074646, 0.42232614755630493, -0.40714406967163086, 0.15492431819438934, -0.8611437678337097, -1.2780779600143433, 0.17215213179588318, 0.047811586409807205]"
-A4suUjxa7gNaiUMDjO42g,"[0.1532423496246338, -0.3724508583545685, -0.0003088966477662325, -0.5281029343605042, 0.21372753381729126, -0.39572983980178833, -0.15349704027175903, -0.12817323207855225, 0.8902982473373413, -0.058726221323013306, -0.8514742851257324, -0.010316531173884869, 0.879543125629425, 0.4524202048778534, -0.04204820841550827, -0.03169364854693413, 0.597386360168457, 0.2447555959224701, -0.18245135247707367, 0.04536803066730499, 0.7427458167076111, 0.10950123518705368, 1.0843576192855835, -0.19513680040836334, 0.5207825899124146, 0.6740650534629822, 0.40500274300575256, -1.2146275043487549, -0.06160397827625275, 0.023156918585300446]"
-AYIgCzZPVr7OMcfELjcAg,"[0.2874220609664917, 0.3862200379371643, -0.44627583026885986, 0.5817054510116577, 0.612156093120575, 0.20714572072029114, 1.027725338935852, 0.9663690328598022, -0.09673155844211578, -0.4433613717556, 0.9544647932052612, 0.45275336503982544, 0.21831458806991577, 0.905001699924469, -0.8962500691413879, 0.12150824069976807, -0.6913439631462097, -1.7334468364715576, 0.7090545892715454, -1.3388572931289673, -0.5292386412620544, 0.06837470084428787, -1.0340243577957153, 0.4473036825656891, 0.3982328176498413, 0.21795858442783356, -0.5958711504936218, -0.9035006165504456, -0.4362819194793701, 0.09183716773986816]"
-AaP3LAwMldM3IDYbxoS9g,"[1.016197681427002, -0.9712609052658081, -1.2048134803771973, -0.0036743702366948128, 1.4730231761932373, -0.1279013305902481, 1.3283531665802002, -0.30902987718582153, -0.35081201791763306, -0.1221255213022232, -0.7477102875709534, 0.056523069739341736, -0.5259866118431091, -0.40511271357536316, -0.3520505726337433, -1.4344596862792969, -0.4845007359981537, -1.4894282817840576, 0.08228407800197601, -0.47496214509010315, -2.090179920196533, 1.2906485795974731, 0.6342228055000305, -0.7749015688896179, -0.029050229117274284, -0.026410317048430443, -0.18937841057777405, -0.9990141987800598, 0.21898752450942993, -0.7766879200935364]"
