bus_id,vector
bkh5o6bCzDCovSkRYBsU1w,"[-0.09729536403500987, -0.6512189035364893, 0.09736612290138069, 0.2273224797748193, -0.13277284129470746, -0.6615425315987838, -0.026490779494247194, 0.05031637969238986, -0.1139059227200855, -0.1277332425692193, -1.3284453205982905, 0.22743047134387742, 0.5269011761079881, 0.6011998500143655, 0.5917251326545037, 0.48673318274884947, 0.39380177224171586, -0.15725307565637736, -0.06567186439135438, -0.4721293307506576, 0.4215893647222223, 0.029047720820841567, -0.7308307811291912, 0.6615012974400065, -0.20850390096318208, -0.3891644802609303, 0.34057445861275465, -0.9119200598445659, 0.11610273833957925, -0.31837574306886923]"
vxtVFSa9_sFrUA4NYe4EJA,"[0.7845485616507938, 0.1643488857777778, -0.14924163346031744, 0.5080431641269841, 0.8030415622857143, 1.0610888502222222, 0.8921476605079366, -0.7363017113015873, -0.10466209733333336, 1.0584166914285713, -1.2419161866666666, -2.0090876809523808, 0.7956497538412697, 1.4517894621587302, 0.16506810768253966, 0.5965592464761904, -0.8742503307301588, -0.10593516149206351, 0.6178213514920635, -0.26974765174603166, -0.2860640223492063, -0.42554228368253966, 0.023680091587301593, -0.9695604217142857, -1.2310259510158732, -0.5385419022222222, -0.09630642298412702, -1.142158384698413, 0.15652006676190475, -1.4046288455238094]"
wCB9mquz6W0ZuO5pPZXeDg,"[-0.1580237372271386, -0.5765971811063128, 0.3362133800176992, 0.22117751581120945, 0.5007770525486726, 0.42204425194690276, 0.31099603452507374, 0.7418765377758113, 0.15184121005899706, -0.06769242278466077, -1.0932027325663718, 0.7038302021179942, 1.0793936516777582, -0.2559000357699115, 0.7650590939705014, 0.21422743687315637, 0.5225129170501475, -0.03853846580530975, -0.15573749489675515, -0.5454098955174042, 0.6037640590560472, -0.577358615321534, -0.4834838629380531, 0.6123402082300885, 0.09903091065486726, 0.46499205054867254, 0.24310445203539827, -1.0849214645486727, 0.3598171267138643, -0.2899553665545723]"
Ih9my8hp4KqcyBXI9Cyevg,"[0.008852049271314137, 0.3438757709846559, -0.2704695358405507, 0.5250354352988735, 0.06878879806257823, 0.19200205790838543, 0.23351352526408006, -0.11349799662565706, 0.38024856695619536, -1.2779888113091364, -0.6068215677564955, 0.6116411001866334, 0.49359298103003757, 1.3860001914868583, -0.3257132053642053, 0.3279106654473091, 0.2631212221629537, -0.4862456255219025, -0.32147522805081363, -0.5076852161688111, 0.9428086344118899, -0.4681090933191772, -0.7919806684448061, -0.14090238782503117, 0.05403513237546932, 0.22014929606382974, 0.3044303467994994, -0.5133998723529412, -0.6644234590062578, 0.13294360481602008]"
EVLfFsWU_l1m1Hj0gWJIvQ,"[0.23357953705882345, -0.06077939281045751, 0.28793849150326795, 0.3546792873202615, 0.5501162392156863, -0.425283288496732, 1.916733458823529, -0.2746427884313726, -0.3161481219607843, 1.019985316470588, -0.3745816402614379, -0.926302003267974, -0.46168719019607846, 1.3759201614379086, -1.3587999607843135, -0.3708035291503268, 0.08813581444444445, -0.12841229529411766, 0.9824997505882354, 0.5271003734640523, 1.0819938055555556, -0.8805543344444444, -0.05234301300653594, -1.0594244849673202, 0.15298746627450982, 0.30042299973856207, -0.33302179424836603, -0.746941736601307, -1.1970611816993464, 0.26388838196078424]"
pooZTAru3lMkCGQLBzNu3w,"[0.571508582872276, 0.05156850296370461, -0.5361520124485473, -0.43178976964285715, -0.7001305942978209, 0.3493943378662227, 1.398605150729419, 0.38827799610472163, 0.19038418315072644, -0.8063008014891041, 0.6019104477542373, 0.2491415673607748, 1.0636958248184019, 0.07524597238196123, -0.7835437105478209, -1.2021007143159808, 0.12829954371065377, -0.7602397513407991, -0.28050625854418887, -2.2521011965980633, -0.45456775631658597, 0.2062019510653753, -0.022314237039951553, -0.6475958570096852, -0.8383461804388621, -1.4876712339073852, 0.17485073167675547, -1.2731257048184017, 0.5593970819098062, -1.157131791207627]"
y2V42mxWvVoH4NvUT_n8eg,"[-0.04076199568094629, -0.6218690580642583, 0.22136518023976995, 0.23537945382352937, -0.11718809017742964, -0.6113712874648339, -0.04810643034795398, 0.09086727904251918, 0.23860148178228902, -0.8480750976182864, -1.1966672098433504, 0.18571747984127235, 0.4406102201118925, 0.4343747670508312, -0.10029856140185424, 0.17906419814028132, 0.5955925885821611, -0.5429040145698532, -0.18614304467870849, -0.5763964483359973, 0.9161962803037083, -0.07834134822570334, -0.3922923634478901, 0.654897624384591, 0.5007257898321609, 0.022710289646739098, 0.14358397207794119, -0.5567150274328643, 0.2442202177477621, -0.22285863130978256]"
SoEim3PnWJ-M6eK60Ul5tQ,"[0.5096737663157895, -0.49779980463157897, -0.3121200665263158, -0.016670061105263076, -0.4159263258947368, -0.34116526257894736, 0.8628883986842106, 0.23768031026315786, 0.021015709421052638, 0.493008020263158, 0.2369892057894737, 1.229740838157895, 0.2673879248421053, 0.3413661571578947, -0.03981934178947369, -1.2583740715789473, 0.35726506157894733, -0.16656163405263158, -0.14951521, -0.5646581404210526, 0.4284258057894737, 0.020689296789473705, -0.10265080410526317, -0.7905502878947369, 0.2297409862105263, -1.0212886447894736, 0.4007975005263158, -1.0846162350526316, -0.1165841154210526, -0.7781399721052631]"
kUICYu0N_TbtCz0Z8ynPFw,"[-0.31516848756389665, -0.8818290751701475, 0.30148370594537743, 0.398566480996933, 0.6759675167901275, 0.2300766644226668, 0.12031707757032276, 0.43496862665809854, 0.18714356222287137, -0.6279285011941873, -1.0346460021191763, -0.20059051970103697, 1.0302746068193371, -0.4879205808608152, -0.24767093163750545, -1.2546979425541116, 0.8398086746177889, -0.37422188352212643, -0.3115870106889148, -0.35666131038001325, 0.14161016188190445, 0.24361939042738417, 0.7348744304220826, -0.28930529328990795, 1.0767635113132759, 0.3581418544403184, 1.2120227290249745, -0.7452359328845478, 0.2091203764863443, 0.17893478832160073]"
S_9OaE_RBWBIXnUKvxJKsQ,"[-0.23730603536603906, -0.4530633320472105, 0.27599392609836626, 0.21386815759224825, 0.5132304931573861, 0.0332725904709262, -0.2916182683269825, 0.08570423329800639, 0.2359263581726935, -0.22854323807891858, -1.2176572532311367, 0.7966207026374083, 0.11854852774775025, 0.5475939976817112, 0.42935632138661217, 0.07112037413584246, 0.7814259437822931, -0.22985474530217362, -0.15164357627518588, -0.4812672344986848, 0.3168728881725045, -0.03909653706707742, -0.19718395822615253, 0.03287777848398175, 0.15573855516223872, 0.3676795733159353, -0.10190639073646504, -0.428684976511683, -0.5468941438505192, -0.0866506039401357]"
